Gene,ACC,BLCA,BRCA,CESC,CHOL,COAD,DLBC,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,READ,SARC,SKCM,STAD,TGCT,THCA,THYM,UCEC,UCS
PSMA3-AS1,4.297753695,4.199735265,4.551379748,4.437425316,4.331471111,4.531181112,3.458547454,4.753519149,4.483090249,3.481029004,4.020782353,4.036752653,4.051792241,5.624237037,4.524928365,3.589560302,4.775608473,4.644086203,4.107144379,4.222747278,4.450759477,4.60902041,4.810615648,4.209596538,4.699434136,4.105391297,4.897139297,5.193878622,3.770756991,4.726340297,5.173772593
PSMD6-AS2,-2.483107882,-3.040674571,-2.11852352,-2.682730063,-3.034544444,-1.739137426,-1.833447251,-0.594195035,-2.515061958,-3.85085089,-3.308494958,-2.626221981,-3.332060632,1.762447325,-2.407194931,-3.940168431,-1.323025118,-1.95220633,-2.458826824,-1.40987765,-2.469745752,-3.103381099,-0.995561125,-3.452607308,-0.421095624,-1.75211067,-0.80566262,-2.786262233,-1.846943894,-2.383389518,-1.509108889
RASSF1-AS1,-0.839377833,-1.096140591,-0.539521007,-1.05460538,-1.668108889,-1.257558886,0.1571,-1.059008038,-0.979462277,-1.885643772,-0.457087395,-1.360422505,0.243874138,2.17789465,-0.802743573,-0.624464272,-0.452116802,-0.807801665,-0.738116371,-1.744866476,-0.214610458,-0.454853406,-1.15095868,-0.270776923,-0.221626039,-1.552555,-0.188429712,-0.396117933,0.129252035,-0.23935969,-0.258106667
RBM5-AS1,-1.146010345,-2.410919698,-1.160572151,-2.195071519,-1.946117778,-0.449219324,-0.908641752,0.652795508,-0.49237173,-3.8356621,-1.588936134,-1.551328894,-1.988203736,1.390198354,-0.445206337,-3.695845369,-0.20065039,-0.556195193,-1.570601775,-0.450386819,-1.035648039,-1.214763938,0.197536186,-2.801212692,0.74466477,-0.737760119,-0.012879872,-0.390503682,-1.080020885,-1.398343086,-0.427545926
SAP30L-AS1,-1.544187685,-2.164045657,-0.798146091,-1.807697468,-2.231026667,-0.774777199,-1.181084929,-0.253142317,-2.410516893,-2.259500356,-1.554118487,-1.300203548,-1.830484483,1.976009465,-2.245441702,-3.744794518,-0.482941128,-1.012891802,-0.620220907,-1.404455874,-1.708469935,-1.471482703,-0.550512469,-1.707424615,-0.426570788,-0.187274029,-0.682199042,-0.725972803,-1.202704425,-1.39410841,-0.72567037
SDCBP2-AS1,1.389153695,0.379950616,0.915204457,0.221239557,0.552302222,0.515249402,-0.262404684,1.05085922,1.100197798,-0.105579359,1.197594118,0.700048789,1.198202011,2.895122222,1.24026035,-0.006103781,1.420854607,1.331437186,1.273393688,0.428139542,1.878760784,1.272101216,0.811886553,0.706121154,0.976947702,0.882002518,1.564936422,1.638201069,0.027110796,1.060094346,1.670617778
SEMA3F-AS1,0.08479803,-0.518439467,-0.35064327,-0.711798101,-0.970951111,-0.004392439,0.456546232,0.620115603,-0.001586095,-2.107910676,-0.912831933,-0.720436215,-0.825632471,2.154506173,-0.115032589,-1.483879206,0.462366888,0.193663219,0.146601578,-0.015112894,0.218121242,-0.040520791,0.446177017,-1.056341538,1.024416193,-0.395225264,1.287021086,0.354224228,0.496436991,-0.136344293,0.57334963
SP2-AS1,-0.260051232,0.334460319,0.549019529,0.370350949,-0.24148,-0.154356513,-2.805512627,-0.251320449,0.068461874,-0.513557829,-1.100261345,0.364757732,0.832222126,1.427026749,0.464409958,-0.705033837,0.280305275,-0.071642216,0.545306114,-0.577152149,0.15925098,0.104269377,-0.296141076,0.684589231,-0.273506346,-0.065714615,-0.829821406,0.929620903,-2.509906372,-0.007551508,0.202782222
SPAG5-AS1,0.195993103,-0.27527448,0.212467651,-0.352161709,-0.477482222,0.233087509,0.112125866,0.786469504,0.623983383,-1.35851637,-1.092148739,0.170890407,-0.205549713,3.130785185,0.583874593,-0.573268053,0.577384238,0.627003609,-0.533817949,-0.199035244,0.434710784,-0.455226868,0.526075306,-0.510396538,0.905898031,-0.05338394,2.931986262,0.239756057,0.08089823,-0.240633866,0.543799259
SRP54-AS1,-1.164099015,-0.815103137,-0.814228016,-0.255557278,-0.303842222,-0.683310576,-0.385389409,-1.023239362,-2.112725681,-1.004923665,-0.572311765,0.07205523,0.580320977,1.494778601,-1.97413446,-0.038903214,0.125945522,-0.071222739,0.225867456,-1.279673066,-0.962150654,-0.636478832,-0.837107579,-0.202316538,-0.397442998,-0.460292387,0.682564856,-0.735994537,-0.30125823,0.198233646,0.227142963
SSBP3-AS1,-1.373228079,-3.180149203,-1.93425298,-2.210080063,-2.766753333,-1.306416006,-3.413739715,-0.345230142,-1.262334309,-3.45147331,-3.153253782,-2.457253977,-3.483416667,1.647475309,-1.166582076,-3.439493384,-1.624685446,-1.739602399,-0.7075643,-1.900712894,-1.282630392,-1.968565975,-0.862327628,-2.566480769,-0.467875055,-1.127620258,-0.676734185,-2.502497031,-3.051742655,-1.566512968,-0.524526667
ST3GAL4-AS1,2.134549754,1.412939485,1.074140241,0.661326582,0.438953333,-0.218969464,1.821012424,0.175043144,0.351918829,0.449928114,0.645252101,0.21895695,0.189242529,2.379989712,0.520618769,-0.428025709,1.247916297,1.222378936,1.365862919,-0.672283954,1.679269281,0.779431221,-0.030627384,1.754284615,-0.046839168,-0.426864993,0.396203514,-0.693518646,1.789753805,0.951990963,1.16788
STARD4-AS1,0.256995567,-2.980776368,-0.814960057,-1.839449684,-1.149566667,-0.737176665,-3.700045621,-0.350467376,-0.134496855,-2.543119395,-1.647829412,0.134767865,-0.700189368,0.638862551,-0.100432046,-2.538206805,-0.634741074,-0.79851815,-0.565349901,-1.298738682,0.01886732,-1.402639891,-0.199961858,-0.732757692,-0.240376586,-1.193984031,-0.531239936,-1.598726366,-2.931089204,-0.738892516,0.453812593
TAPT1-AS1,0.527348276,-0.260782223,0.402889736,-0.431521203,0.107973333,0.245285401,-1.240411609,0.595350236,-1.217774948,-1.040181851,0.286957983,-0.114087494,0.067553161,1.431654321,-1.119438383,-1.316560302,0.280596367,-0.019026035,0.563689152,0.355229513,0.450465033,0.668043467,0.453793888,-0.671288462,0.453300547,0.519755299,0.101152396,0.490381591,-1.020084248,0.166411483,0.488282222
TCEB3-AS1,1.814838916,1.563027366,1.624109012,1.402324684,0.841122222,1.315080705,0.408537067,1.104526359,1.28352595,1.296687189,0.928383193,1.409024809,1.740048276,2.657972016,1.348494448,1.072953308,1.370341256,1.69442918,2.008686785,0.891656734,1.71495915,2.599151942,1.231317848,1.892595,1.826992341,0.948326731,1.752642173,1.847910333,0.75517469,1.714844055,1.982576296
TMCC1-AS1,0.20059064,-1.135736103,-0.036757383,-1.104476266,-1.328457778,-0.726990509,-2.084823422,-0.825162293,0.33075456,-2.478912633,-1.776728571,0.135282502,-0.47721523,2.852857202,0.709566083,-1.82217259,-0.65200032,-0.644238657,0.877569034,-0.637374212,0.057219608,0.929462388,-0.592633741,0.358664231,-0.365137965,-1.061190967,0.599778914,-0.522543705,-1.733689735,-0.009874799,0.864327407
UCKL1-AS1,-1.422284729,-2.519754987,-2.215769604,-2.201484494,-2.738362222,-1.241269542,-2.148851527,-0.14923156,-1.69501991,-2.544647509,-1.747005042,-3.016929148,-2.769506609,0.554652263,-1.74761557,-3.85529603,-1.25057245,-1.32314312,-0.906945759,-1.84982894,-1.124960784,-2.463313178,-0.816278973,-2.815566538,-1.222324726,-1.123547816,-1.365016933,-2.492209739,-2.213277345,-1.685907765,-1.076991852
YEATS2-AS1,-1.168699507,-0.68395599,-0.65133767,-0.481281329,-1.380633333,-0.396518762,-1.285658248,0.406020922,1.004212451,-1.462025267,-2.426430252,-0.927297373,-1.664088793,1.924409465,0.867108932,-2.93186087,-0.117819405,0.604988535,-0.170886982,-0.799573639,-1.146450654,-0.754038227,-0.043779218,-1.195042308,0.50943523,-0.871107475,0.366938658,-0.47392304,-0.987227788,-0.482558109,0.577354815
ZBTB11-AS1,-0.101573892,0.556863931,0.340088167,0.581081013,-0.136397778,-0.15921766,-1.740372505,0.19742234,-0.875075487,0.681200534,0.528708403,0.201686893,0.84063592,1.180067078,-0.639699819,-0.778195841,0.535013461,0.807419149,0.458959566,-0.525324928,0.331700654,0.379549564,-0.230607579,0.402444615,0.150151641,-0.166026317,0.793855911,0.97317601,-1.433738407,0.497791749,0.625182963
