	EC_12_R1	EC_12_R2	EC_24_R1	EC_24_R2	EC_36_R1	EC_36_R2	EC_48_R1	EC_48_R2	EC_72_R1	EC_72_R2	EC+ANDV_12_R1	EC+ANDV_12_R2	EC+ANDV_24_R1	EC+ANDV_24_R2	EC+ANDV_36_R1	EC+ANDV_36_R2	EC+ANDV_48_R1	EC+ANDV_48_R2	EC+ANDV_72_R1	EC+ANDV_72_R2	EC+SNV_12_R1	EC+SNV_12_R2	EC+SNV_24_R1	EC+SNV_24_R2	EC+SNV_36_R1	EC+SNV_36_R2	EC+SNV_48_R1	EC+SNV_48_R2	EC+SNV_72_R1	EC+SNV_72_R2	M_12_R1	M_12_R2	M_24_R1	M_24_R2	M_36_R1	M_36_R2	M_48_R1	M_48_R2	M+ANDV_12_R1	M+ANDV_12_R2	M+ANDV_24_R1	M+ANDV_24_R2	M+ANDV_36_R1	M+ANDV_36_R2	M+ANDV_48_R1	M+ANDV_48_R2	M+SNV_12_R1	M+SNV_12_R2	M+SNV_24_R1	M+SNV_24_R2	M+SNV_36_R1	M+SNV_36_R2	M+SNV_48_R1	M+SNV_48_R2
CXCL11	115.0	114.0	85.0	79.0	77.5	59.0	38.0	64.0	44.0	43.0	65.5	53.0	83.0	55.0	91.0	78.0	64.5	69.5	54.5	48.0	98.0	87.0	64.0	74.5	79.0	64.0	47.0	66.5	51.5	76.0	5.0	4.17	4.17	4.17	5.0	5.0	4.17	4.17	4.17	7.0	4.17	4.17	4.17	5.0	4.17	4.17	4.17	4.17	4.17	4.17	5.0	4.17	5.0	5.0
IDO1	50.0	55.0	40.0	43.0	36.0	33.0	25.0	32.0	32.0	33.0	33.0	38.0	49.0	46.5	258.0	279.5	446.0	370.0	120.0	120.0	51.0	53.0	46.0	55.0	44.0	45.0	50.0	57.5	232.0	294.0	7.0	7.0	6.0	6.0	8.0	8.0	7.0	6.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	8.0	8.0	7.0	7.0	8.0	7.0	7.0	8.0
IFNA1	17.0	17.0	19.0	20.0	18.0	19.0	20.0	19.0	18.0	19.0	12.0	22.0	18.0	17.0	22.0	29.0	27.0	26.0	23.0	21.5	20.0	18.0	21.0	21.0	20.0	21.5	20.5	22.0	23.0	23.0	5.0	6.0	5.0	5.0	6.0	6.0	6.0	5.0	5.0	8.0	5.0	5.0	5.0	5.0	6.0	5.0	6.0	5.0	5.0	5.0	5.5	5.0	6.0	6.0
IFNB1	18.0	16.0	16.0	17.0	15.0	17.0	14.5	16.0	14.0	16.0	24.0	20.0	49.5	47.0	779.5	1249.5	2048.0	1502.0	307.0	417.0	16.0	15.0	17.5	23.0	20.0	26.0	103.0	100.0	856.0	722.0	3.5	3.5	3.5	3.5	4.0	3.5	3.5	3.5	3.5	8.0	3.5	3.5	3.5	3.5	3.5	4.0	3.5	3.5	3.5	4.0	3.5	3.5	3.5	4.0
IFNG	49.0	57.0	56.0	49.0	47.0	38.0	34.0	49.0	38.0	38.0	35.0	36.0	52.5	45.0	54.5	53.0	44.5	51.0	59.0	52.0	47.0	39.5	48.5	52.0	54.0	46.0	41.0	49.5	49.0	56.0	11.5	8.0	8.0	4.0	17.0	14.0	12.0	12.0	7.5	12.0	5.0	5.0	8.0	14.0	7.0	7.0	6.0	6.0	9.0	9.0	14.5	8.0	14.5	14.0
IFR3	2685.0	2960.0	2348.0	2448.0	2142.0	2444.5	1792.5	2026.5	2105.0	2210.0	1912.5	2651.0	2815.5	2483.5	2932.0	3171.0	2551.0	2553.0	2101.0	2291.0	2779.0	3147.5	2973.5	3390.5	2919.0	2818.0	2438.0	2703.0	2412.0	2638.5	30.0	22.0	15.0	10.0	41.0	47.0	48.0	50.5	25.5	30.0	12.0	10.0	34.5	59.0	32.5	22.0	15.0	15.0	24.0	28.0	53.0	43.0	61.0	70.0
IL10	20.0	19.5	22.0	22.0	24.0	24.0	19.0	21.0	21.0	20.0	16.0	17.0	21.0	21.0	29.0	29.0	32.0	27.5	22.0	22.5	19.0	19.0	22.0	23.0	25.0	21.0	22.0	23.0	26.0	27.0	17.0	18.0	14.0	9.0	35.0	76.0	58.5	40.0	8.0	11.0	9.0	8.0	26.5	41.0	34.5	29.0	8.0	8.0	11.0	15.0	45.0	31.5	42.0	63.0
IL12A	85.0	115.0	83.0	92.0	72.0	74.5	63.0	79.5	75.0	90.0	64.0	84.0	86.0	76.0	207.0	229.0	285.0	231.0	149.5	157.5	70.0	82.0	89.0	88.0	76.0	87.0	95.5	98.0	207.0	198.0	8.5	8.5	8.5	8.5	10.0	11.0	8.5	8.5	11.0	16.0	9.0	8.5	8.5	9.0	8.5	8.5	8.5	8.5	10.0	8.5	11.0	8.5	12.0	11.0
IL15	215.5	237.0	315.5	377.0	372.5	425.5	345.0	371.0	410.0	431.5	197.0	225.0	476.0	435.5	1351.0	1596.0	1691.0	1576.0	1164.0	1345.0	221.0	222.5	415.0	495.0	512.0	537.0	631.0	677.0	1403.0	1316.0	15.0	14.0	8.0	6.33	10.0	9.0	9.0	11.0	10.0	14.0	6.33	6.33	8.0	11.0	8.0	8.0	9.0	10.0	10.0	10.0	13.0	9.0	13.0	13.0
IL1A	167.5	181.0	256.0	271.0	284.0	327.5	234.0	278.0	231.0	240.0	104.0	121.0	193.5	192.0	510.0	511.0	464.0	405.0	209.5	197.0	129.5	142.0	205.0	206.5	260.0	242.0	264.5	248.5	254.0	253.5	11.0	9.33	11.0	9.33	18.0	16.0	13.0	14.0	15.0	18.0	14.0	15.0	9.33	17.0	14.0	12.0	13.0	12.0	14.0	12.0	20.0	12.0	26.0	21.0
