	sample.name	sample	treatment1	treatment2	GAPDH	ACTIN	TARGET	ISmean.Ct	dCT	ddCT	RQ	adjRQ	gene
192	SB.DOX_rep3	SB.DOX	SB	DOX	17.43	20.0639	29.2341	18.74695	-10.48715	-1.2127	2.317709899471	2.43790374711461	SNAI1
193	DMSO_rep1	DMSO	DMSO	Control	16.9164	18.9255	24.0545	17.92095	-6.13355	0	1	0.879853153612624	SNAI2
194	DMSO_rep2	DMSO	DMSO	Control	16.6856	18.7246	23.4062	17.7051	-5.7011	-0.432450000000006	1.34952340695288	1.18738242548154	SNAI2
195	DMSO_rep3	DMSO	DMSO	Control	17.0193	18.7575	23.9377	17.8884	-6.0493	-0.0842500000000044	1.06013647513334	0.932764420905836	SNAI2
196	DMSO.DOX_rep1	DMSO.DOX	DMSO	DOX	17.3887	19.2838	23.2908	18.33625	-4.95455	-1.179	2.26419780422135	1.99216157844693	SNAI2
197	DMSO.DOX_rep2	DMSO.DOX	DMSO	DOX	17.4432	19.2649	23.0501	18.35405	-4.69605	-1.4375	2.70851109387379	2.38309202753963	SNAI2
198	DMSO.DOX_rep3	DMSO.DOX	DMSO	DOX	17.3689	19.282	23.2112	18.32545	-4.88575	-1.2478	2.37479009351472	2.08946655294694	SNAI2
199	SB_rep1	SB	SB	Control	16.018	18.2822	24.0871	17.1501	-6.937	0.803449999999994	0.572977344054563	0.504135923114992	SNAI2
200	SB_rep2	SB	SB	Control	16.3221	18.5011	24.0761	17.4116	-6.6645	0.530949999999997	0.692098843928212	0.608945350441888	SNAI2
201	SB_rep3	SB	SB	Control	16.4114	18.6363	24.4477	17.52385	-6.92385	0.790299999999998	0.578223841182781	0.508752070158675	SNAI2
202	SB.DOX_rep1	SB.DOX	SB	DOX	17.0539	19.7299	24.4006	18.3919	-6.0087	-0.124850000000002	1.09039435620531	0.959386912988651	SNAI2
203	SB.DOX_rep2	SB.DOX	SB	DOX	17.836	20.2777	24.9843	19.05685	-5.92745	-0.206099999999999	1.15356556136056	1.01496829706201	SNAI2
204	SB.DOX_rep3	SB.DOX	SB	DOX	17.43	20.0639	24.4695	18.74695	-5.72255	-0.411000000000001	1.32960710818172	1.16985900719944	SNAI2
205	DMSO_rep1	DMSO	DMSO	Control	16.9164	18.9255	28.7105	17.92095	-10.78955	0	1	0.86784642373895	TAGLN
206	DMSO_rep2	DMSO	DMSO	Control	16.6856	18.7246	28.2418	17.7051	-10.5367	-0.252850000000002	1.19155867930248	1.03408993850776	TAGLN
207	DMSO_rep3	DMSO	DMSO	Control	17.0193	18.7575	28.3385	17.8884	-10.4501	-0.339450000000003	1.26527414035134	1.09806363775328	TAGLN
208	DMSO.DOX_rep1	DMSO.DOX	DMSO	DOX	17.3887	19.2838	28.4376	18.33625	-10.10135	-0.688200000000002	1.61127193633537	1.39833658761958	TAGLN
209	DMSO.DOX_rep2	DMSO.DOX	DMSO	DOX	17.4432	19.2649	28.8985	18.35405	-10.54445	-0.245100000000004	1.18517491815985	1.02854981423013	TAGLN
210	DMSO.DOX_rep3	DMSO.DOX	DMSO	DOX	17.3689	19.282	28.5359	18.32545	-10.21045	-0.5791	1.49391700395957	1.29649052924912	TAGLN
211	SB_rep1	SB	SB	Control	16.018	18.2822	28.4962	17.1501	-11.3461	0.556549999999998	0.679926167889028	0.590071493209022	TAGLN
212	SB_rep2	SB	SB	Control	16.3221	18.5011	28.1765	17.4116	-10.7649	-0.0246500000000012	1.01723287992945	0.882801916956447	TAGLN
213	SB_rep3	SB	SB	Control	16.4114	18.6363	28.6605	17.52385	-11.13665	0.347099999999998	0.786162797599056	0.682268572372949	TAGLN
214	SB.DOX_rep1	SB.DOX	SB	DOX	17.0539	19.7299	28.1831	18.3919	-9.7912	-0.998350000000002	1.99771392183897	1.73370888272146	TAGLN
215	SB.DOX_rep2	SB.DOX	SB	DOX	17.836	20.2777	29.3732	19.05685	-10.31635	-0.473199999999999	1.38818514900148	1.20473151704845	TAGLN
