Time	12	12	24	24	36	36	48	48	72	72	12	12	24	24	36	36	48	48	72	72	12	12	24	24	36	36	48	48	72	72	12	12	24	24	36	36	48	48	12	12	24	24	36	36	48	48	12	12	24	24	36	36	48	48			
Treatment	EC	EC	EC	EC	EC	EC	EC	EC	EC	EC	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	M	M	M	M	M	M	M	M	M+ANDV	M+ANDV	M+ANDV	M+ANDV	M+ANDV	M+ANDV	M+ANDV	M+ANDV	M+SNV	M+SNV	M+SNV	M+SNV	M+SNV	M+SNV	M+SNV	M+SNV			
Replicate	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2			
CD14	37.00	34.00	34.00	37.50	35.00	41.00	27.00	32.00	30.00	25.00	27.00	32.00	45.00	30.00	41.00	39.50	38.00	35.50	35.00	34.50	35.50	36.00	44.50	39.00	37.00	41.00	32.00	30.00	30.00	37.00	240.00	224.00	175.00	95.00	615.00	659.00	783.00	759.00	59.00	63.00	69.00	52.00	384.00	592.00	401.00	288.00	32.00	32.00	113.00	175.00	441.00	296.50	415.50	711.50	4.0	4.0	4.0
CD200R1	61.00	70.50	80.00	88.00	91.50	87.00	67.00	83.50	73.00	69.00	39.00	38.00	86.00	41.50	84.50	75.50	79.00	77.00	73.00	72.00	33.00	31.50	53.00	51.00	65.00	52.00	51.00	42.00	56.50	56.00	4.00	4.00	4.00	4.00	5.00	5.00	4.00	4.00	5.00	9.00	4.00	4.00	4.00	5.00	4.00	5.00	5.00	5.50	6.00	5.00	6.00	5.50	6.00	7.00	5.0	4.0	3.0
CD274	1293.00	1481.50	976.00	1043.00	827.00	992.50	792.00	837.50	984.50	1053.00	943.00	1479.00	1423.00	1620.50	4360.00	5709.00	5400.50	4995.00	3143.00	3617.00	1221.00	1440.00	1303.00	1276.00	1260.50	1202.00	1473.00	1407.00	4118.50	3794.50	7.00	7.00	6.33	6.33	8.00	7.00	7.00	9.00	13.50	13.00	7.00	6.33	7.00	7.00	7.00	6.33	7.00	7.00	6.33	7.00	8.00	7.00	9.00	9.00	7.0	6.0	6.0
CD80	22.00	22.50	24.00	26.00	23.00	24.00	30.00	24.00	24.00	25.00	45.00	40.00	199.00	276.00	5137.00	7463.50	9406.50	7992.00	4197.00	5056.00	41.00	38.00	56.50	150.00	72.00	161.00	504.00	598.50	7806.00	8073.00	9.00	9.00	8.67	8.67	10.00	9.00	9.00	9.00	9.00	12.00	9.00	8.67	9.00	9.00	9.00	9.00	10.00	10.00	9.00	10.00	10.00	9.00	12.00	11.00	9.0	9.0	8.0
CD86	52.00	58.00	46.00	48.00	35.00	35.50	27.00	33.00	31.00	33.00	42.50	31.00	43.00	46.00	43.00	42.00	38.00	39.00	32.00	40.00	48.00	44.00	39.00	44.00	40.50	34.50	25.50	44.00	34.50	51.00	43.00	39.00	25.50	16.00	83.00	85.00	91.00	116.00	28.00	37.00	17.00	13.50	70.00	96.00	54.00	41.50	18.00	17.00	28.00	47.00	85.00	67.00	91.00	115.00	8.0	7.0	6.0
CXCL10	62.50	75.00	63.00	59.00	45.50	35.00	38.50	47.00	33.00	34.00	118.50	85.00	276.00	371.00	5406.50	8864.00	11967.50	8674.50	1767.00	2067.00	98.00	71.00	81.50	216.00	75.50	157.00	479.00	626.00	6547.00	7104.00	4.00	4.00	5.00	4.00	5.00	5.00	4.00	5.00	5.00	7.00	5.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	6.00	5.00	5.00	5.00	6.00	6.00	4.0	4.0	3.0
CXCL11	115.00	114.00	85.00	79.00	77.50	59.00	38.00	64.00	44.00	43.00	65.50	53.00	83.00	55.00	91.00	78.00	64.50	69.50	54.50	48.00	98.00	87.00	64.00	74.50	79.00	64.00	47.00	66.50	51.50	76.00	5.00	4.17	4.17	4.17	5.00	5.00	4.17	4.17	4.17	7.00	4.17	4.17	4.17	5.00	4.17	4.17	4.17	4.17	4.17	4.17	5.00	4.17	5.00	5.00	4.5	4.0	4.0
IDO1	50.00	55.00	40.00	43.00	36.00	33.00	25.00	32.00	32.00	33.00	33.00	38.00	49.00	46.50	258.00	279.50	446.00	370.00	120.00	120.00	51.00	53.00	46.00	55.00	44.00	45.00	50.00	57.50	232.00	294.00	7.00	7.00	6.00	6.00	8.00	8.00	7.00	6.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	8.00	8.00	7.00	7.00	8.00	7.00	7.00	8.00	6.0	6.0	6.0
IFNA1	17.00	17.00	19.00	20.00	18.00	19.00	20.00	19.00	18.00	19.00	12.00	22.00	18.00	17.00	22.00	29.00	27.00	26.00	23.00	21.50	20.00	18.00	21.00	21.00	20.00	21.50	20.50	22.00	23.00	23.00	5.00	6.00	5.00	5.00	6.00	6.00	6.00	5.00	5.00	8.00	5.00	5.00	5.00	5.00	6.00	5.00	6.00	5.00	5.00	5.00	5.50	5.00	6.00	6.00	5.0	5.0	5.0
IFNB1	18.00	16.00	16.00	17.00	15.00	17.00	14.50	16.00	14.00	16.00	24.00	20.00	49.50	47.00	779.50	1249.50	2048.00	1502.00	307.00	417.00	16.00	15.00	17.50	23.00	20.00	26.00	103.00	100.00	856.00	722.00	3.50	3.50	3.50	3.50	4.00	3.50	3.50	3.50	3.50	8.00	3.50	3.50	3.50	3.50	3.50	4.00	3.50	3.50	3.50	4.00	3.50	3.50	3.50	4.00	3.5	4.0	3.0
